PLAYER_NAME,AGE,TEAM_ABBREVIATION,POS,GP,MPG,FGPG,FGAPG,FG_PCT,FG3PG,FG3APG,FG3_PCT,FTPG,FTAPG,FT_PCT,ORPG,DRPG,RPG,APG,SPG,BPG,TPG,PPG,PFPG,FPPG,DD2,TD3
Charles Bassey,24.0,SAS,Center-Forward,36,10.4,1.9,3.2,0.581,0.0,0.0,0.0,0.6,0.9,0.636,1.6,2.7,4.2,0.5,0.4,0.8,0.6,4.4,1.4,13.2,2,0
Chet Holmgren,23.0,OKC,Center-Forward,32,27.4,5.2,10.7,0.49,1.4,3.6,0.379,3.2,4.2,0.754,1.5,6.5,8.0,2.0,0.7,2.2,1.8,15.0,2.2,34.6,11,0
Chris Boucher,32.0,TOR,Forward,50,17.2,3.6,7.4,0.492,1.4,3.9,0.363,1.4,1.7,0.782,1.4,3.1,4.5,0.7,0.5,0.5,0.6,10.0,1.4,18.8,3,0
Chris Duarte,28.0,CHI,Guard,17,4.4,0.7,1.5,0.462,0.4,0.9,0.4,0.4,0.5,0.75,0.3,0.9,1.2,0.5,0.0,0.0,0.1,2.1,0.4,4.3,0,0
Chris Livingston,21.0,MIL,Forward,21,5.0,0.4,1.3,0.333,0.0,0.4,0.0,0.6,0.8,0.75,0.5,1.2,1.7,0.2,0.2,0.0,0.3,1.4,0.4,4.2,0,0
Chris Paul,40.0,SAS,Guard,82,28.0,3.0,7.1,0.427,1.7,4.5,0.377,1.0,1.1,0.924,0.4,3.2,3.6,7.4,1.3,0.3,1.6,8.8,1.8,27.2,12,0
Christian Braun,24.0,DEN,Guard,79,33.9,6.0,10.4,0.58,1.1,2.8,0.397,2.2,2.7,0.827,1.2,3.9,5.2,2.6,1.1,0.5,1.0,15.4,2.2,29.1,6,0
Christian Koloko,25.0,LAL,Center,37,9.2,1.1,1.8,0.606,0.0,0.1,0.0,0.3,0.4,0.714,0.9,1.5,2.5,0.4,0.2,0.4,0.3,2.4,1.2,7.7,0,0
Chuma Okeke,26.0,CLE,Forward,9,21.9,2.2,4.4,0.5,1.2,3.1,0.393,0.2,0.3,0.667,2.3,2.9,5.2,1.7,0.6,0.4,0.3,5.9,0.6,17.3,1,0
Clint Capela,31.0,ATL,Center,55,21.4,4.0,7.1,0.559,0.0,0.0,0.0,0.9,1.8,0.536,3.2,5.4,8.5,1.1,0.6,1.0,0.9,8.9,1.9,24.7,11,0
Coby White,25.0,CHI,Guard,74,33.1,6.9,15.1,0.453,2.9,7.9,0.37,3.7,4.1,0.902,0.3,3.4,3.7,4.5,0.9,0.2,2.4,20.4,2.1,32.6,2,0
Cody Martin,29.0,PHX,Forward,53,22.1,2.6,6.1,0.418,0.8,2.8,0.285,0.8,1.2,0.705,1.0,3.2,4.2,2.0,1.1,0.6,1.0,6.8,1.8,18.8,0,0
Cody Williams,20.0,UTA,Forward,50,21.2,1.7,5.1,0.323,0.7,2.7,0.259,0.6,0.8,0.725,0.5,1.7,2.3,1.2,0.5,0.3,0.9,4.6,1.9,10.5,0,0
Colby Jones,23.0,WAS,Guard,39,13.2,1.5,3.3,0.457,0.4,1.3,0.327,0.6,0.9,0.657,0.5,1.7,2.2,1.1,0.7,0.3,0.6,4.0,0.9,10.8,1,0
Cole Anthony,25.0,MEM,Guard,67,18.4,3.4,8.1,0.424,1.1,3.3,0.353,1.4,1.7,0.823,0.7,2.4,3.0,2.9,0.7,0.5,1.5,9.4,2.3,19.2,0,0
Cole Swider,26.0,TOR,Forward,10,17.0,2.2,6.3,0.349,1.5,4.7,0.319,0.0,0.1,0.0,0.5,2.2,2.7,0.3,0.4,0.2,0.4,5.9,1.2,11.0,0,0
Colin Castleton,25.0,TOR,Center,26,16.6,1.8,3.8,0.469,0.1,0.6,0.125,1.1,1.5,0.763,2.0,2.7,4.7,1.1,0.3,0.4,0.9,4.7,2.0,13.2,0,0
Collin Gillespie,26.0,PHX,Guard,33,14.0,2.1,4.8,0.43,1.2,2.7,0.433,0.6,0.7,0.864,0.7,1.7,2.4,2.4,0.6,0.2,0.5,5.9,0.9,14.1,1,0
Collin Sexton,26.0,UTA,Guard,63,27.9,6.6,13.8,0.48,1.7,4.3,0.406,3.4,4.0,0.865,1.0,1.8,2.7,4.2,0.7,0.1,2.5,18.4,2.3,27.9,2,0
Corey Kispert,26.0,WAS,Forward,61,26.3,4.2,9.3,0.451,2.0,5.4,0.364,1.2,1.4,0.852,0.6,2.4,3.0,1.7,0.4,0.2,1.0,11.6,1.6,18.6,0,0
